,moviename,year,description,cast,imdb_rating,imdb_ratingbasedon,tomatoes_audscore,tomatoes_rating,tomatoes_ratingbasedon,rank
0,The Shawshank Redemption,1994,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.2,"2,051,896",,,,1
1,The Godfather,1972,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.2,"1,407,392",,,,2
2,The Godfather: Part II,1974,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",9.0,"975,957",,,,3
3,The Dark Knight,2008,"When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham. The Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Christopher Nolan (dir.), Christian Bale, Heath Ledger",9.0,"2,018,734",,,,4
4,12 Angry Men,1957,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",8.9,"578,243",,,,5
5,Schindler's List,1993,"In German-occupied Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazi Germans.","Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",8.9,"1,062,305",,,,6
6,The Lord of the Rings: The Return of the King,2003,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.9,"1,460,937",,,,7
7,Pulp Fiction,1994,"The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.9,"1,603,445",,,,8
8,"The Good, the Bad and the Ugly",1966,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.8,"608,959",,,,9
9,Fight Club,1999,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.","David Fincher (dir.), Brad Pitt, Edward Norton",8.8,"1,642,197",,,,10
10,The Lord of the Rings: The Fellowship of the Ring,2001,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.8,"1,477,632",,,,11
11,Forrest Gump,1994,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75.","Robert Zemeckis (dir.), Tom Hanks, Robin Wright",8.7,"1,569,860",,,,12
12,Star Wars: Episode V - The Empire Strikes Back,1980,"After the rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader.","Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.7,"1,030,010",,,,13
13,Inception,2010,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO.,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.7,"1,798,133",91%,4.2/5,"569,017",14
14,The Lord of the Rings: The Two Towers,2002,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.7,"1,321,049",,,,15
15,One Flew Over the Cuckoo's Nest,1975,A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",8.7,"814,576",,,,16
16,Goodfellas,1990,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.","Martin Scorsese (dir.), Robert De Niro, Ray Liotta",8.7,"885,371",97%,4.3/5,"428,343",17
17,The Matrix,1999,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",8.6,"1,473,350",,,,18
18,Seven Samurai,1954,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",8.6,"277,455",,,,19
19,Se7en,1995,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","David Fincher (dir.), Morgan Freeman, Brad Pitt",8.6,"1,257,049",,,,20
20,City of God,2002,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",8.6,"632,522",,,,21
